"State" "Account.Length" "Area.Code" "Phone" "Int.l.Plan" "VMail.Plan" "VMail.Message" "Day.Mins" "Day.Calls" "Day.Charge" "Eve.Mins" "Eve.Calls" "Eve.Charge" "Night.Mins" "Night.Calls" "Night.Charge" "Intl.Mins" "Intl.Calls" "Intl.Charge" "CustServ.Calls" "Churn."
"AL" 172 408 "359-5731" "no" "no" 0 270 102 45.9 256.6 111 21.81 168.5 104 7.58 12 5 3.24 2 "True."
"AL" 131 415 "361-7998" "no" "yes" 25 192.7 85 32.76 225.9 105 19.2 254.2 59 11.44 10.9 6 2.94 2 "False."
"AL" 102 408 "364-7622" "no" "no" 0 224.7 81 38.2 129.4 112 11 167.6 109 7.54 15.8 6 4.27 1 "False."
"AL" 131 510 "366-4225" "no" "no" 0 153.4 86 26.08 198.5 81 16.87 164.4 83 7.4 10.4 3 2.81 0 "False."
"AL" 76 415 "367-8156" "no" "no" 0 179.2 85 30.46 222.9 66 18.95 188.2 113 8.47 12.4 2 3.35 0 "False."
"AL" 41 510 "369-6880" "no" "yes" 34 194.4 63 33.05 254.9 110 21.67 160.2 115 7.21 17.2 9 4.64 2 "False."
"AL" 92 408 "371-7366" "no" "yes" 38 242.2 96 41.17 159.7 144 13.57 210 108 9.45 8.9 1 2.4 1 "False."
"AL" 144 415 "373-3251" "no" "no" 0 177.5 93 30.18 287.4 75 24.43 180.5 118 8.12 11.9 3 3.21 2 "False."
"AL" 93 408 "374-9203" "no" "no" 0 267.9 114 45.54 223 74 18.96 262.7 90 11.82 11.3 3 3.05 3 "True."
"AL" 55 415 "375-2975" "yes" "no" 0 191.9 91 32.62 256.1 110 21.77 203.7 101 9.17 14.3 6 3.86 1 "True."
"AL" 100 415 "377-5258" "no" "no" 0 160.3 138 27.25 221.3 92 18.81 150.4 120 6.77 11.2 2 3.02 0 "False."
"AL" 91 510 "378-5633" "no" "yes" 23 232.4 97 39.51 186 88 15.81 190.5 128 8.57 12.3 3 3.32 3 "False."
"AL" 86 415 "380-3437" "no" "no" 0 128.3 121 21.81 197.1 93 16.75 138.4 152 6.23 12.2 5 3.29 7 "True."
"AL" 19 415 "380-3910" "yes" "no" 0 237.7 98 40.41 207.1 121 17.6 182.2 95 8.2 4.5 4 1.22 0 "False."
"AL" 91 510 "387-2919" "yes" "no" 0 129.9 112 22.08 173.3 83 14.73 247.2 130 11.12 11.2 3 3.02 3 "False."
"AL" 69 415 "389-4278" "no" "no" 0 183.4 85 31.18 237.6 100 20.2 228 94 10.26 9 5 2.43 3 "False."
"AL" 16 408 "403-9417" "no" "no" 0 209.5 89 35.62 172.8 85 14.69 94.1 102 4.23 8.8 4 2.38 1 "False."
"AL" 47 408 "404-5387" "no" "yes" 28 141.3 94 24.02 168 108 14.28 113.5 84 5.11 7.8 2 2.11 1 "False."
"AL" 82 408 "406-8037" "no" "no" 0 154 107 26.18 94.4 114 8.02 287.6 95 12.94 10.1 7 2.73 1 "False."
"AL" 200 408 "408-2119" "no" "no" 0 128.2 87 21.79 133.2 105 11.32 177.6 123 7.99 11.2 2 3.02 1 "False."
"AL" 96 415 "410-5455" "yes" "no" 0 200.6 117 34.1 289.5 120 24.61 98.3 95 4.42 11.2 5 3.02 2 "False."
"AL" 8 415 "421-2245" "no" "yes" 36 242.9 67 41.29 170.9 59 14.53 177.3 130 7.98 4.8 12 1.3 1 "False."
"AR" 95 415 "328-2982" "no" "no" 0 69.4 79 11.8 190.8 109 16.22 219.9 102 9.9 8.9 5 2.4 0 "False."
"AR" 145 415 "332-5820" "no" "no" 0 224.2 89 38.11 314.9 121 26.77 182.9 121 8.23 16.1 3 4.35 1 "False."
"AR" 94 408 "333-2964" "no" "no" 0 136.2 114 23.15 165.1 118 14.03 137.9 71 6.21 9.6 5 2.59 0 "False."
"AR" 54 415 "337-1586" "no" "no" 0 247.5 85 42.08 225.4 93 19.16 244.3 132 10.99 10.2 2 2.75 2 "False."
"AR" 113 415 "338-6714" "yes" "no" 0 122.2 112 20.77 131.7 94 11.19 169.5 106 7.63 10.3 9 2.78 5 "True."
"AR" 138 510 "338-9171" "no" "no" 0 146.5 101 24.91 284.5 142 24.18 176 98 7.92 14 6 3.78 3 "False."
"AR" 153 408 "339-3636" "no" "no" 0 154.6 56 26.28 263 84 22.36 367.7 89 16.55 15.5 2 4.19 1 "False."
"AR" 80 415 "340-4953" "no" "no" 0 124.3 100 21.13 173 107 14.71 253.2 62 11.39 7.9 9 2.13 1 "False."
"AR" 107 415 "343-5219" "yes" "no" 0 133.3 106 22.66 182.9 89 15.55 241.1 123 10.85 12.9 2 3.48 3 "False."
"AR" 59 510 "343-7242" "no" "yes" 29 133.1 114 22.63 221.2 82 18.8 131.6 103 5.92 6.8 3 1.84 1 "False."
"AR" 36 415 "346-9317" "no" "no" 0 157.6 117 26.79 184.3 58 15.67 240.4 99 10.82 11.9 1 3.21 0 "False."
"AR" 34 510 "353-7289" "no" "no" 0 124.8 82 21.22 282.2 98 23.99 311.5 78 14.02 10 4 2.7 2 "False."
"AR" 96 415 "365-2341" "no" "yes" 21 247.6 95 42.09 256.3 150 21.79 158.6 72 7.14 10.8 6 2.92 2 "False."
"AR" 89 415 "365-4728" "no" "yes" 25 215.1 140 36.57 197.4 69 16.78 162.1 117 7.29 10.6 10 2.86 1 "False."
"AR" 110 408 "373-6379" "no" "no" 0 55.3 102 9.4 164.7 124 14 200.7 108 9.03 10.2 5 2.75 1 "False."
"AR" 109 510 "374-5530" "no" "no" 0 175.4 125 29.82 250.7 87 21.31 289.3 74 13.02 9.8 9 2.65 1 "False."
"AR" 68 510 "376-1000" "no" "no" 0 172.7 95 29.36 139.1 90 11.82 174.3 99 7.84 11.7 1 3.16 2 "False."
"AR" 129 415 "379-7192" "no" "no" 0 157 113 26.69 256.9 97 21.84 185.5 126 8.35 12.1 2 3.27 2 "False."
"AR" 5 415 "380-2758" "no" "no" 0 199.2 106 33.86 187.3 12 15.92 214 85 9.63 13.3 3 3.59 3 "False."
"AR" 87 408 "390-4789" "no" "no" 0 185.8 119 31.59 192.3 83 16.35 200 96 9 6.6 4 1.78 1 "False."
"AR" 118 415 "402-3892" "no" "no" 0 267.8 145 45.53 316.4 121 26.89 208.6 91 9.39 14.4 11 3.89 5 "True."
"AR" 79 408 "406-2752" "no" "no" 0 152.2 112 25.87 177.2 132 15.06 96.4 87 4.34 5.3 3 1.43 1 "False."
"AR" 77 415 "408-3610" "no" "yes" 23 209.7 73 35.65 183.6 63 15.61 205.5 111 9.25 7.1 3 1.92 2 "False."
"AR" 116 510 "409-5519" "no" "no" 0 160.7 69 27.32 146.8 106 12.48 287.8 144 12.95 8.2 5 2.21 0 "False."
"AR" 179 415 "413-3412" "yes" "yes" 38 220.1 78 37.42 234.3 71 19.92 237.3 85 10.68 10.1 4 2.73 4 "False."
"AR" 135 510 "419-6033" "no" "yes" 27 273.4 141 46.48 154 99 13.09 245.8 112 11.06 12.3 6 3.32 1 "False."
"AZ" 87 510 "327-3053" "no" "no" 0 110.9 91 18.85 158.5 115 13.47 207.5 131 9.34 6.2 5 1.67 1 "False."
"AZ" 73 415 "328-1522" "no" "no" 0 175.4 130 29.82 248.1 105 21.09 122.4 85 5.51 12.2 4 3.29 0 "False."
"AZ" 100 415 "331-9861" "no" "yes" 26 153.7 115 26.13 137.8 146 11.71 213.5 104 9.61 15.9 5 4.29 1 "False."
"AZ" 138 415 "332-3381" "no" "no" 0 87.6 112 14.89 266.9 107 22.69 214.6 104 9.66 9.8 10 2.65 2 "False."
"AZ" 102 408 "334-1339" "no" "no" 0 158 94 26.86 207.9 100 17.67 190.4 120 8.57 10.1 10 2.73 0 "False."
"AZ" 66 510 "337-8618" "no" "no" 0 154 133 26.18 198.9 121 16.91 151.9 100 6.84 9.5 3 2.57 4 "True."
"AZ" 113 510 "341-5892" "no" "no" 0 81.3 116 13.82 220.6 124 18.75 235.7 113 10.61 8.9 3 2.4 0 "False."
"AZ" 138 415 "344-6334" "no" "no" 0 240.8 104 40.94 144.5 92 12.28 125.7 98 5.66 11.6 1 3.13 0 "False."
"AZ" 144 510 "346-7795" "yes" "no" 0 203.5 100 34.6 247.6 103 21.05 194.3 94 8.74 11.9 11 3.21 0 "False."
"AZ" 97 408 "349-7282" "no" "yes" 25 141 101 23.97 212 85 18.02 175.2 138 7.88 4.9 2 1.32 3 "False."
"AZ" 122 510 "350-7227" "no" "yes" 22 204.5 92 34.77 139.6 121 11.87 205 103 9.23 8.6 5 2.32 2 "False."
"AZ" 85 408 "354-4445" "no" "no" 0 201.4 52 34.24 229.4 104 19.5 252.5 106 11.36 12 3 3.24 1 "False."
"AZ" 163 510 "354-4568" "no" "no" 0 178.7 56 30.38 215.7 79 18.33 152.7 84 6.87 10.6 2 2.86 4 "False."
"AZ" 94 408 "354-7339" "no" "no" 0 181.8 85 30.91 202.4 98 17.2 245.9 97 11.07 9.2 2 2.48 4 "False."
"AZ" 124 415 "360-1406" "no" "no" 0 253.5 104 43.1 117.9 123 10.02 248.5 104 11.18 14 2 3.78 0 "False."
"AZ" 158 510 "362-2314" "no" "no" 0 205.2 97 34.88 240.6 77 20.45 79.7 108 3.59 14.4 12 3.89 0 "False."
"AZ" 43 415 "362-3660" "no" "no" 0 179.3 97 30.48 252.7 126 21.48 227.5 114 10.24 8 5 2.16 0 "False."
"AZ" 60 415 "366-2212" "no" "no" 0 98.2 88 16.69 180.5 69 15.34 223.6 69 10.06 9.3 2 2.51 2 "False."
"AZ" 137 415 "370-4395" "no" "no" 0 141.1 91 23.99 147.2 100 12.51 254.7 75 11.46 8 7 2.16 2 "False."
"AZ" 107 415 "375-4770" "no" "yes" 32 134.2 101 22.81 211.9 145 18.01 167.6 138 7.54 8.2 5 2.21 1 "False."
"AZ" 75 510 "385-7387" "no" "yes" 37 121.5 97 20.66 271.4 110 23.07 248.7 97 11.19 11.3 5 3.05 2 "False."
"AZ" 90 415 "387-6103" "no" "no" 0 179.1 71 30.45 190.6 81 16.2 127.7 91 5.75 10.6 7 2.86 3 "False."
"AZ" 157 415 "389-9783" "no" "no" 0 220.7 105 37.52 119.3 127 10.14 165.1 113 7.43 11.5 7 3.11 4 "True."
"AZ" 94 408 "390-7434" "no" "yes" 38 170.1 124 28.92 193.3 116 16.43 105.9 73 4.77 12.8 4 3.46 1 "False."
"AZ" 86 415 "392-2381" "no" "yes" 32 70.9 163 12.05 166.7 121 14.17 244.9 105 11.02 11.1 5 3 3 "False."
"AZ" 140 408 "393-4086" "no" "no" 0 149.8 134 25.47 164.4 98 13.97 294.7 124 13.26 8.1 2 2.19 1 "False."
"AZ" 83 415 "400-6999" "no" "yes" 41 155.9 122 26.5 162.3 107 13.8 127.6 105 5.74 13.1 5 3.54 3 "False."
"AZ" 113 510 "403-9719" "no" "no" 0 128.7 100 21.88 227.1 67 19.3 178.1 135 8.01 9.2 4 2.48 2 "False."
"AZ" 67 415 "404-4481" "no" "no" 0 210.7 116 35.82 219.2 86 18.63 179.7 83 8.09 7.2 6 1.94 1 "False."
"AZ" 136 510 "405-6641" "no" "no" 0 92 117 15.64 253.6 77 21.56 214.1 90 9.63 10.3 10 2.78 1 "False."
"AZ" 72 510 "407-9830" "no" "no" 0 272.4 88 46.31 107.9 125 9.17 185.5 81 8.35 12.7 2 3.43 0 "False."
"AZ" 48 415 "409-3428" "no" "yes" 27 141.1 109 23.99 224.7 94 19.1 174.3 122 7.84 13.2 2 3.56 1 "False."
"AZ" 140 408 "411-4674" "no" "no" 0 173.2 91 29.44 196.8 106 16.73 209.3 128 9.42 11.2 5 3.02 3 "False."
"AZ" 108 415 "415-6333" "no" "no" 0 193.3 126 32.86 154.7 85 13.15 174.8 98 7.87 9.4 6 2.54 3 "False."
"AZ" 69 415 "419-3937" "no" "yes" 31 194.9 63 33.13 191.6 90 16.29 153 129 6.89 13.2 2 3.56 2 "False."
"CA" 111 408 "329-9067" "no" "no" 0 249.8 109 42.47 242.4 106 20.6 231.8 78 10.43 11.6 4 3.13 0 "False."
"CA" 60 415 "330-8351" "yes" "no" 0 183 110 31.11 206.7 93 17.57 203.8 119 9.17 11.1 6 3 1 "False."
"CA" 120 510 "339-7602" "no" "no" 0 134.8 94 22.92 204.1 106 17.35 238.4 109 10.73 6.7 8 1.81 1 "False."
"CA" 75 415 "341-1916" "no" "yes" 19 210.3 90 35.75 241.8 87 20.55 215.7 102 9.71 13.1 3 3.54 4 "False."
"CA" 96 510 "341-4103" "no" "yes" 31 183.4 126 31.18 195.5 106 16.62 180.1 93 8.1 10.5 5 2.84 1 "False."
"CA" 124 408 "343-6374" "yes" "no" 0 244.6 89 41.58 188.8 80 16.05 206 114 9.27 11.3 4 3.05 1 "False."
"CA" 37 415 "345-1243" "no" "no" 0 191.1 69 32.49 129.2 113 10.98 207.5 117 9.34 12.9 1 3.48 0 "False."
"CA" 112 415 "346-5036" "no" "no" 0 208.7 150 35.48 212.8 104 18.09 178.1 98 8.01 8.5 4 2.3 0 "False."
"CA" 93 415 "356-5491" "no" "yes" 36 178.7 134 30.38 178.6 102 15.18 126.8 82 5.71 8 4 2.16 2 "False."
"CA" 185 408 "358-4036" "no" "no" 0 139.6 92 23.73 250.2 115 21.27 158.1 79 7.11 10.8 4 2.92 1 "False."
"CA" 93 510 "368-6488" "no" "yes" 19 136.8 113 23.26 179.5 105 15.26 71.1 95 3.2 12.5 3 3.38 2 "False."
"CA" 113 415 "370-2892" "no" "no" 0 187.6 97 31.89 208.2 118 17.7 158.9 101 7.15 8.7 6 2.35 2 "False."
"CA" 120 415 "375-5547" "no" "no" 0 252.1 110 42.86 226.1 103 19.22 155.6 83 7 13.8 3 3.73 1 "False."
"CA" 158 510 "379-5503" "no" "no" 0 155.9 123 26.5 224.2 112 19.06 221 116 9.95 8.6 8 2.32 2 "False."
"CA" 87 415 "383-4802" "no" "yes" 19 165.8 122 28.19 186.9 89 15.89 249.7 78 11.24 0 0 0 1 "False."
"CA" 138 510 "388-6026" "yes" "no" 0 196.2 129 33.35 176.5 86 15 232.4 108 10.46 15.2 1 4.1 0 "True."
"CA" 82 415 "394-9220" "no" "no" 0 199.3 112 33.88 193.4 120 16.44 254.4 117 11.45 7 10 1.89 0 "False."
"CA" 116 415 "405-3371" "no" "yes" 34 268.6 83 45.66 178.2 142 15.15 166.3 106 7.48 11.6 3 3.13 2 "True."
"CA" 137 415 "415-3689" "no" "yes" 22 189.6 42 32.23 179 137 15.22 179.6 126 8.08 11.4 5 3.08 2 "False."
"CO" 118 408 "328-1222" "no" "no" 0 188.8 60 32.1 217.4 64 18.48 220.1 100 9.9 8.2 7 2.21 4 "False."
"CO" 120 510 "328-8147" "no" "yes" 27 153.5 84 26.1 194 73 16.49 256.5 94 11.54 10.2 7 2.75 5 "True."
"CO" 66 408 "329-6192" "no" "yes" 40 141.7 87 24.09 268.3 89 22.81 241.3 68 10.86 8.5 7 2.3 0 "False."
"CO" 71 415 "332-9896" "no" "no" 0 211.2 70 35.9 252.7 122 21.48 225.8 104 10.16 12.3 3 3.32 0 "False."
"CO" 68 408 "338-9398" "no" "no" 0 237.1 105 40.31 223.5 105 19 97.4 79 4.38 13.2 2 3.56 1 "False."
"CO" 57 415 "342-4004" "no" "no" 0 85.9 92 14.6 193.9 127 16.48 231.5 93 10.42 10.1 2 2.73 0 "False."
"CO" 154 415 "343-5709" "no" "no" 0 350.8 75 59.64 216.5 94 18.4 253.9 100 11.43 10.1 9 2.73 1 "True."
"CO" 110 510 "345-8350" "no" "no" 0 131.9 93 22.42 272.7 106 23.18 192.8 105 8.68 7.1 4 1.92 1 "False."
"CO" 54 510 "360-1643" "no" "yes" 39 117.6 82 19.99 159.2 60 13.53 236.4 113 10.64 11.3 10 3.05 2 "False."
"CO" 156 408 "364-6445" "no" "no" 0 150.5 106 25.59 152.9 112 13 215.9 86 9.72 3.5 3 0.95 1 "False."
"CO" 139 415 "368-2845" "no" "no" 0 138.1 103 23.48 164.5 100 13.98 134.9 63 6.07 8.3 2 2.24 1 "False."
"CO" 192 415 "370-8379" "no" "no" 0 221.6 101 37.67 285.2 50 24.24 167.4 83 7.53 12.7 6 3.43 4 "False."
"CO" 141 415 "371-4306" "no" "yes" 32 148.6 91 25.26 131.1 97 11.14 219.4 142 9.87 10.1 1 2.73 1 "False."
"CO" 90 408 "371-4788" "no" "no" 0 109.9 102 18.68 220.8 114 18.77 104 133 4.68 10.9 6 2.94 0 "False."
"CO" 88 510 "373-4274" "no" "no" 0 61.9 78 10.52 262.6 114 22.32 212.5 110 9.56 8.8 2 2.38 3 "False."
"CO" 125 415 "378-9029" "no" "no" 0 131.8 97 22.41 136.7 100 11.62 308.2 119 13.87 7.7 6 2.08 2 "False."
"CO" 83 510 "379-3012" "no" "no" 0 132.4 120 22.51 121.6 101 10.34 197.7 84 8.9 8.6 2 2.32 1 "False."
"CO" 137 415 "379-4257" "no" "no" 0 127 107 21.59 323.2 75 27.47 143.9 127 6.48 7.5 2 2.03 1 "False."
"CO" 132 415 "379-9524" "no" "no" 0 197.8 66 33.63 133.9 119 11.38 177.3 94 7.98 10.9 3 2.94 4 "True."
"CO" 98 408 "386-7337" "no" "no" 0 236.2 122 40.15 189.4 110 16.1 153.6 104 6.91 13.3 4 3.59 0 "False."
"CO" 125 408 "386-8690" "no" "yes" 23 120.5 104 20.49 227.8 115 19.36 158.5 100 7.13 10.2 3 2.75 1 "False."
"CO" 90 408 "393-8199" "no" "yes" 30 183.8 76 31.25 229.7 95 19.52 144.1 124 6.48 7.7 3 2.08 1 "False."
"CO" 74 415 "394-6278" "no" "no" 0 225.2 93 38.28 215.1 120 18.28 241.8 95 10.88 9.1 2 2.46 2 "False."
"CO" 85 510 "394-6668" "no" "yes" 21 283.2 110 48.14 239.7 108 20.37 149.5 80 6.73 6.3 1 1.7 5 "False."
"CO" 192 415 "401-6392" "no" "no" 0 185 88 31.45 224.9 98 19.12 212.4 105 9.56 11.4 3 3.08 2 "False."
"CO" 86 415 "405-1132" "no" "no" 0 217.8 93 37.03 214.7 95 18.25 228.7 70 10.29 11.3 7 3.05 0 "False."
"CO" 80 415 "406-5710" "no" "no" 0 194.8 116 33.12 209.9 93 17.84 194.1 100 8.73 12.8 3 3.46 0 "False."
"CO" 37 408 "408-1513" "no" "no" 0 199.5 107 33.92 207.5 110 17.64 83.9 123 3.78 8.1 4 2.19 2 "False."
"CO" 63 415 "408-6725" "no" "no" 0 211.8 84 36.01 230.9 137 19.63 217.1 99 9.77 10.7 9 2.89 3 "False."
"CO" 128 510 "410-4613" "no" "no" 0 199.3 86 33.88 194.8 102 16.56 298.2 82 13.42 14.3 2 3.86 4 "False."
"CO" 55 408 "419-2637" "no" "yes" 25 165.6 123 28.15 136.1 95 11.57 175.7 90 7.91 11 2 2.97 3 "False."
"CO" 86 408 "419-7415" "no" "no" 0 171.8 106 29.21 301.7 44 25.64 139.4 108 6.27 9.7 5 2.62 1 "False."
"CO" 103 415 "420-7066" "no" "yes" 37 153.5 78 26.1 241.9 108 20.56 244.7 110 11.01 10.6 3 2.86 1 "False."
"CT" 106 510 "330-1175" "no" "yes" 33 81.6 120 13.87 235.6 85 20.03 150.9 113 6.79 9.9 4 2.67 1 "False."
"CT" 116 415 "335-6832" "no" "no" 0 245.9 73 41.8 240.1 87 20.41 158.7 89 7.14 8.9 5 2.4 3 "False."
"CT" 94 415 "337-9303" "no" "no" 0 206.1 49 35.04 224.6 115 19.09 256.7 74 11.55 13 1 3.51 1 "False."
"CT" 115 415 "339-1330" "no" "no" 0 245 97 41.65 250.7 75 21.31 270.2 124 12.16 13.7 8 3.7 1 "False."
"CT" 70 408 "339-5329" "no" "no" 0 198.6 111 33.76 213.9 115 18.18 171.2 105 7.7 10.6 6 2.86 2 "False."
"CT" 77 415 "342-5701" "no" "no" 0 221.8 84 37.71 166 125 14.11 210.2 72 9.46 13.2 4 3.56 1 "False."
"CT" 119 408 "344-5181" "no" "no" 0 294.2 100 50.01 232.5 53 19.76 195 64 8.78 9 1 2.43 0 "True."
"CT" 100 415 "360-9676" "no" "yes" 38 177.1 88 30.11 163.7 108 13.91 242.7 72 10.92 7.4 2 2 0 "False."
"CT" 40 510 "361-1900" "yes" "no" 0 220.8 100 37.54 265.7 106 22.58 212.8 94 9.58 6.4 3 1.73 0 "False."
"CT" 99 415 "363-8824" "no" "no" 0 146.7 64 24.94 274 99 23.29 321.3 98 14.46 8.9 1 2.4 3 "False."
"CT" 23 510 "370-5527" "no" "no" 0 321.6 107 54.67 251.6 115 21.39 141.1 158 6.35 11.3 3 3.05 2 "True."
"CT" 80 408 "374-1551" "no" "no" 0 118.1 90 20.08 144.3 77 12.27 225.1 86 10.13 8.2 6 2.21 1 "False."
"CT" 95 415 "375-2098" "no" "yes" 36 283.1 112 48.13 286.2 86 24.33 261.7 129 11.78 11.3 3 3.05 3 "True."
"CT" 103 510 "377-9178" "no" "no" 0 160.2 104 27.23 138.9 70 11.81 312.5 97 14.06 9.7 2 2.62 0 "False."
"CT" 155 510 "380-7277" "no" "no" 0 165.4 108 28.12 183.7 103 15.61 80.2 108 3.61 8.9 4 2.4 3 "False."
"CT" 124 415 "386-8432" "no" "no" 0 151 98 25.67 120.6 119 10.25 152.8 81 6.88 9.2 2 2.48 2 "False."
"CT" 96 415 "387-5860" "no" "yes" 37 172.7 93 29.36 120.1 116 10.21 216.1 86 9.72 10.3 5 2.78 5 "True."
"CT" 72 408 "388-4879" "no" "yes" 21 186.7 108 31.74 335 86 28.48 187.2 119 8.42 16.5 4 4.46 1 "False."
